"id"	"ru_meaning"	"ru_meaning_raw"	"ru_meaning_lit"	"ru_notes"	"ru_cognate"
"1"	"(грам) буква а; первая буква алфавита; гортанная гласная"	"(грам) буква а; первая буква алфавита; гортанная гласная"	""	""	""
"2"	"приставка ""аа"" сокращена перед двойной согласной"	"укороченный префикс ā перед удвоенной согласной"	""	""	""
"3"	"увеличивающий элемент, добавляемый к некоторым глаголам прошедшего времени, имперфектам и условному наклонению"	""	""	""	""
"4"	"нет; не-"	""	""	""	""
"5"	"(грам) знак спряжения для глаголов 1 ой группы"	"(грамм) знак спряжения для глаголов группы 1 bhū"	""	""	""
"6"	"сокращение от Ангуттара (Никая)"	""	""	""	""
"7"	"деликатный; тактичный; вежливый; не резкий; не грубый"	""	""	"PED предлагает ku + √kar + ta"	""
"8"	"без сомнений; свободный от неопределенности"	"свободный от сомнений; избавленный от неуверенности"	""	"см. akaṅkha 2"	""
"9"	"свободный от желаний"	"свободный от желаний"	""	"см. akaṅkha 1"	""
"10"	"не сомневающийся; без неясности"	""	""	""	""
"11"	"ничто"	""	"не что-то"	""	""
"12"	"не подходит для разговора (с); не следует говорить (с)"	""	""	""	""
"13"	"(о каком-либо действии) не сделанный; не выполненный; не осуществлённый"	""	""	""	""
"14"	"(о создании чего-то) не сделанный; не созданный; не сформированный"	"не сделанный; не созданный; не сформированный"	""	""	""
"17"	"(комм) не побужденный быть созданным"	"не вызванный быть созданным"	""	""	""
"18"	"кто не выполнил официальную процедуру; с которым не поступили в соответствии с правилом"	""	""	""	""
"20"	""	"появление некультивированного готового к употреблению высококачественного риса"	""	""	""
"23"	"непорочный; не имеющий пятен"	"непорочный; не имеющий пятен"	""	""	""
"24"	"непорочная часть; чистая область"	"непорочная часть; чистая область"	""	""	""
"25"	"без препятствий; без помех"	"без препятствий; без помех; буквально без шипов"	"без шипов"	""	""
"26"	"без беспокойства и проблем"	"без беспокойства и проблем; буквально без шипов и без терний"	"нет шипов и без шипов"	""	""
"27"	"не чёрный; не плохой; не негативный"	"не чёрный; не плохой; не негативный"	""	""	""
"28"	""	"ни черный, ни белый; ни хороший, ни плохой"	""	""	""
"29"	"ни с плохим, ни с хорошим результатом; не имеющий ни положительных, ни отрицательных последствий"	"без ни плохих, ни хороших результатов; не имеющий ни положительных, ни отрицательных последствий"	""	""	""
"30"	"ни с плохим, ни с хорошим результатом; не имеющий ни положительных, ни отрицательных последствий"	"без ни плохих, ни хороших результатов; не имеющий ни положительных, ни отрицательных последствий"	""	""	""
"31"	""	"отсутствие ни плохих, ни хороших результатов; отсутствие ни положительных, ни отрицательных последствий; досл. состояние ни чёрных, ни белых результатов"	""	""	""
"32"	"(о каком-либо действии) не сделанный; не выполненный; не осуществлённый"	""	""	""	""
"33"	"(о создании чего-то) не сделанный; не созданный; не сформированный"	""	""	""	""
"34"	"что-то не сделанное; невыполненное действие"	""	""	""	""
